"id";"rank";"name";"employees";"previousrank";"revenues";"revenuechange";"profits";"profitschange";"assets";"marketvalue"
"221";"220";"L Brands";"59,100";"234";"$12,574";"3.5%";"$1,158.1 ";"-7.6%";"$8,170";"$13,426"
"222";"221";"J.C. Penney";"106,000";"228";"$12,547";"-0.6%";"$1.0 ";"-";"$9,314";"$1,901"
"223";"222";"Farmers Insurance Exchange";"13,309";"227";"$12,513";"-0.9%";"-$147.9 ";"-";"$16,057";"-"
"224";"223";"Reynolds American";"5,525";"266";"$12,503";"17.1%";"$6,073.0 ";"86.7%";"$51,095";"$89,862"
"225";"224";"Viacom";"9,650";"213";"$12,488";"-5.9%";"$1,438.0 ";"-25.2%";"$22,508";"$18,503"
"226";"225";"Becton Dickinson";"50,928";"278";"$12,483";"21.4%";"$976.0 ";"40.4%";"$25,586";"$39,041"
"227";"226";"Micron Technology";"31,400";"173";"$12,399";"-23.4%";"-$276.0 ";"-109.5%";"$27,540";"$31,972"
"228";"227";"Principal Financial";"14,854";"236";"$12,394";"3.6%";"$1,316.5 ";"6.7%";"$228,014";"$18,143"
"229";"228";"Arconic";"41,500";"126";"$12,394";"-45.0%";"-$941.0 ";"-";"$20,038";"$11,604"
"230";"229";"NRG Energy";"8,763";"193";"$12,351";"-15.8%";"-$774.0 ";"-";"$30,355";"$5,911"
"231";"230";"VF";"69,000";"231";"$12,207";"-1.4%";"$1,074.1 ";"-12.8%";"$9,739";"$22,786"
"232";"231";"Devon Energy";"3,545";"216";"$12,197";"-7.2%";"-$3,302.0 ";"-";"$25,913";"$21,886"
"233";"232";"D.R. Horton";"6,976";"260";"$12,157";"12.3%";"$886.3 ";"18.1%";"$11,559";"$12,438"
"234";"233";"Bed Bath & Beyond";"62,000";"238";"$12,104";"1.9%";"$841.5 ";"-12.1%";"$6,499";"$5,931"
"235";"234";"Consolidated Edison";"14,960";"229";"$12,075";"-3.8%";"$1,245.0 ";"4.4%";"$48,255";"$23,708"
"236";"235";"Edison International";"12,390";"246";"$11,869";"3.0%";"$1,311.0 ";"28.5%";"$51,319";"$25,938"
"237";"236";"Sherwin-Williams";"42,550";"253";"$11,856";"4.6%";"$1,132.7 ";"7.5%";"$6,753";"$28,891"
"238";"237";"NGL Energy Partners";"3,200";"167";"$11,742";"-30.1%";"-$198.9 ";"-633.2%";"$5,560";"$2,686"
"239";"238";"Dominion Resources";"16,200";"243";"$11,737";"0.5%";"$2,123.0 ";"11.8%";"$71,610";"$48,732"
"240";"239";"Ameriprise Financial";"13,195";"232";"$11,735";"-3.8%";"$1,314.0 ";"-15.9%";"$139,821";"$19,953"
"241";"240";"ADP";"57,000";"248";"$11,668";"1.7%";"$1,492.5 ";"2.8%";"$43,670";"$45,963"
"242";"241";"Hilton Worldwide Holdings";"169,000";"254";"$11,663";"3.5%";"$348.0 ";"-75.2%";"$26,211";"$19,276"
"243";"242";"First Data";"24,000";"249";"$11,584";"1.2%";"$420.0 ";"-";"$40,292";"$14,224"
"244";"243";"Henry Schein";"21,000";"268";"$11,572";"8.9%";"$506.8 ";"5.8%";"$6,730";"$13,461"
"245";"244";"Toys ";"64,000";"240";"$11,540";"-2.2%";"-$36.0 ";"-";"$6,908";"-"
"246";"245";"BB&T Corp.";"37,500";"273";"$11,538";"11.5%";"$2,426.0 ";"16.4%";"$219,276";"$36,141"
"247";"246";"Reinsurance Group of America";"2,371";"271";"$11,522";"10.6%";"$701.4 ";"39.7%";"$53,098";"$8,169"
"248";"247";"Core-Mark Holding";"7,688";"317";"$11,507";"29.9%";"$54.2 ";"5.2%";"$1,497";"$1,445"
"249";"248";"Biogen";"7,400";"263";"$11,449";"6.4%";"$3,702.8 ";"4.4%";"$22,877";"$59,046"
"250";"249";"Las Vegas Sands";"49,000";"241";"$11,410";"-2.4%";"$1,670.0 ";"-15.1%";"$20,469";"$45,313"
"251";"250";"Stanley Black & Decker";"54,023";"256";"$11,407";"1.7%";"$965.3 ";"9.2%";"$15,635";"$20,280"
"252";"251";"Parker-Hannifin";"48,950";"224";"$11,361";"-10.6%";"$806.8 ";"-20.3%";"$12,057";"$21,370"
"253";"252";"Stryker";"33,000";"287";"$11,325";"13.9%";"$1,647.0 ";"14.5%";"$20,435";"$49,115"
"254";"253";"Estee Lauder";"46,000";"261";"$11,262";"4.5%";"$1,114.6 ";"2.4%";"$9,223";"$31,068"
"255";"254";"Celgene";"7,132";"305";"$11,229";"21.3%";"$1,999.2 ";"24.8%";"$28,086";"$96,802"
"256";"255";"BlackRock";"13,000";"250";"$11,155";"-2.2%";"$3,172.0 ";"-5.2%";"$220,177";"$62,225"
"257";"256";"Xcel Energy";"11,476";"257";"$11,107";"0.7%";"$1,123.4 ";"14.1%";"$41,155";"$22,546"
"258";"257";"CSX";"26,628";"239";"$11,069";"-6.3%";"$1,714.0 ";"-12.9%";"$35,414";"$43,126"
"259";"258";"Unum Group";"9,400";"265";"$11,047";"2.9%";"$931.4 ";"7.4%";"$61,942";"$10,749"
"260";"259";"Jacobs Engineering Group";"49,350";"235";"$10,964";"-9.5%";"$210.5 ";"-30.5%";"$7,360";"$6,693"
"261";"260";"Lennar";"8,335";"301";"$10,950";"15.6%";"$911.8 ";"13.6%";"$15,362";"$12,002"
"262";"261";"Group 1 Automotive";"13,500";"267";"$10,888";"2.4%";"$147.1 ";"56.5%";"$4,462";"$1,584"
"263";"262";"Leucadia National";"13,000";"242";"$10,875";"-6.9%";"$130.0 ";"-54.2%";"$45,071";"$9,355"
"264";"263";"Entergy";"13,513";"247";"$10,846";"-5.8%";"-$583.6 ";"-";"$45,904";"$13,685"
"265";"264";"PayPal Holdings";"18,100";"307";"$10,842";"17.2%";"$1,401.0 ";"14.1%";"$33,103";"$51,650"
"266";"265";"Applied Materials";"16,150";"295";"$10,825";"12.1%";"$1,721.0 ";"25.0%";"$14,588";"$42,005"
"267";"266";"Voya Financial";"6,700";"252";"$10,782";"-4.9%";"-$428.0 ";"-204.8%";"$214,235";"$7,191"
"268";"267";"MasterCard";"11,900";"294";"$10,776";"11.5%";"$4,059.0 ";"6.6%";"$18,675";"$121,234"
"269";"268";"Priceline Group";"18,500";"308";"$10,743";"16.5%";"$2,135.0 ";"-16.3%";"$19,839";"$87,522"
"270";"269";"Liberty Interactive";"21,080";"284";"$10,647";"6.6%";"$1,235.0 ";"42.1%";"$20,355";"$9,101"
"271";"270";"AutoZone";"66,780";"280";"$10,636";"4.4%";"$1,241.0 ";"7.0%";"$8,600";"$20,540"
"272";"271";"State Street Corp.";"33,783";"264";"$10,635";"-1.2%";"$2,143.0 ";"8.2%";"$242,698";"$30,406"
"273";"272";"DTE Energy";"10,000";"274";"$10,630";"2.8%";"$868.0 ";"19.4%";"$32,041";"$18,317"
"274";"273";"L-3 Communications";"38,000";"245";"$10,597";"-8.3%";"$710.0 ";"-";"$11,865";"$12,859"
"275";"274";"HollyFrontier";"2,676";"214";"$10,536";"-20.4%";"-$260.5 ";"-135.2%";"$9,436";"$5,048"
"276";"275";"Praxair";"26,498";"262";"$10,534";"-2.2%";"$1,500.0 ";"-3.0%";"$19,332";"$33,834"
"277";"276";"Universal Health Services";"70,863";"290";"$10,508";"7.4%";"$702.4 ";"3.2%";"$10,318";"$12,022"
"278";"277";"Discover Financial Services";"15,549";"283";"$10,497";"4.9%";"$2,393.0 ";"4.2%";"$92,308";"$26,255"
"279";"278";"Occidental Petroleum";"11,000";"225";"$10,398";"-18.1%";"-$574.0 ";"-";"$43,109";"$48,444"
"280";"279";"United States Steel";"29,800";"244";"$10,261";"-11.3%";"-$440.0 ";"-";"$9,160";"$5,893"
"281";"280";"Sempra Energy";"16,575";"279";"$10,183";"-0.5%";"$1,370.0 ";"1.6%";"$47,786";"$27,692"
"282";"281";"Baxter International";"48,000";"286";"$10,163";"2.0%";"$4,965.0 ";"412.9%";"$15,546";"$28,106"
"283";"282";"W.W. Grainger";"25,000";"285";"$10,137";"1.6%";"$605.9 ";"-21.2%";"$5,694";"$13,668"
"284";"283";"Autoliv";"65,900";"310";"$10,074";"9.9%";"$567.1 ";"24.1%";"$8,234";"$9,032"
"285";"284";"Norfolk Southern";"27,856";"270";"$9,888";"-5.9%";"$1,668.0 ";"7.2%";"$34,892";"$32,515"
"286";"285";"Baker Hughes";"33,000";"178";"$9,841";"-37.5%";"-$2,738.0 ";"-";"$19,034";"$25,444"
"287";"286";"Ally Financial";"7,600";"298";"$9,835";"3.1%";"$1,067.0 ";"-17.2%";"$163,728";"$9,437"
"288";"287";"Sonic Automotive";"9,800";"297";"$9,732";"1.1%";"$93.2 ";"8.0%";"$3,639";"$900"
"289";"288";"Owens & Minor";"7,900";"291";"$9,723";"-0.5%";"$108.8 ";"5.2%";"$2,718";"$2,114"
"290";"289";"Huntsman";"15,000";"277";"$9,657";"-6.2%";"$326.0 ";"250.5%";"$9,189";"$5,880"
"291";"290";"Laboratory Corp. of America";"52,000";"325";"$9,642";"11.1%";"$732.1 ";"67.6%";"$14,247";"$14,696"
"292";"291";"Murphy USA";"6,600";"258";"$9,633";"-11.5%";"$221.5 ";"25.6%";"$2,089";"$2,706"
"293";"292";"Advance Auto Parts";"57,500";"293";"$9,568";"-1.7%";"$459.6 ";"-2.9%";"$8,315";"$10,944"
"294";"293";"Fidelity National Financial";"55,219";"311";"$9,554";"4.6%";"$650.0 ";"23.3%";"$14,463";"$10,600"
"295";"294";"Air Products & Chemicals";"18,450";"288";"$9,524";"-3.7%";"$631.1 ";"-50.6%";"$18,055";"$29,438"
"296";"295";"Hormel Foods";"21,100";"304";"$9,523";"2.8%";"$890.1 ";"29.7%";"$6,370";"$18,316"
"297";"296";"Hertz Global Holdings";"36,000";"269";"$9,480";"-10.0%";"-$491.0 ";"-279.9%";"$19,155";"$1,456"
"298";"297";"MGM Resorts International";"66,500";"309";"$9,455";"2.9%";"$1,101.4 ";"-";"$28,173";"$15,733"
"299";"298";"Corning";"40,700";"313";"$9,390";"3.1%";"$3,695.0 ";"176.0%";"$27,899";"$25,030"
"300";"299";"Republic Services";"33,000";"312";"$9,388";"3.0%";"$612.6 ";"-18.3%";"$20,630";"$21,312"
"301";"300";"Alcoa";"14,000";;"$9,318";"-";"-$400.0 ";"-";"$16,741";"$6,337"
"302";"301";"Fidelity National Information Services";"55,000";"392";"$9,241";"40.1%";"$568.0 ";"-10.1%";"$26,031";"$26,178"
"303";"302";"Pacific Life";"3,628";"326";"$9,169";"6.1%";"$824.0 ";"24.7%";"$143,298";"-"
"304";"303";"SunTrust Banks";"24,375";"329";"$9,161";"7.4%";"$1,878.0 ";"-2.8%";"$204,875";"$27,175"
"305";"304";"LKQ";"42,500";"369";"$9,082";"26.3%";"$464.0 ";"9.6%";"$8,303";"$9,021"
"306";"305";"BorgWarner";"27,000";"339";"$9,071";"13.1%";"$118.5 ";"-80.6%";"$8,835";"$8,895"
"307";"306";"Ball";"18,450";"341";"$9,061";"13.3%";"$263.0 ";"-6.4%";"$16,173";"$13,000"
"308";"307";"CST Brands";"12,380";"299";"$9,061";"-4.6%";"$324.0 ";"117.4%";"$4,360";"$3,645"
"309";"308";"Public Service Enterprise Group";"13,065";"272";"$9,061";"-13.0%";"$887.0 ";"-47.2%";"$40,070";"$22,451"
"310";"309";"Eastman Chemical";"14,000";"296";"$9,008";"-6.6%";"$854.0 ";"0.7%";"$15,457";"$11,783"
"311";"310";"eBay";"12,600";"300";"$8,979";"-5.4%";"$7,266.0 ";"321.2%";"$23,847";"$36,232"
"312";"311";"Mohawk Industries";"37,800";"338";"$8,959";"11.0%";"$930.4 ";"51.2%";"$10,231";"$17,025"
"313";"312";"Oneok";"2,384";"348";"$8,921";"14.9%";"$352.0 ";"43.7%";"$16,139";"$11,684"
"314";"313";"Frontier Communications";"28,332";"461";"$8,896";"59.5%";"-$373.0 ";"-";"$29,013";"$2,521"
"315";"314";"Netflix";"3,850";"379";"$8,831";"30.3%";"$186.7 ";"52.2%";"$13,587";"$63,619"
"316";"315";"American Family Insurance Group";"10,471";"332";"$8,829";"6.6%";"$325.6 ";"-53.1%";"$22,662";"-"
"317";"316";"Thrivent Financial for Lutherans";"3,282";"318";"$8,777";"-0.1%";"$587.8 ";"-23.6%";"$88,561";"-"
"318";"317";"Expedia";"20,075";"385";"$8,774";"31.5%";"$281.8 ";"-63.1%";"$15,778";"$18,901"
"319";"318";"Lithia Motors";"11,170";"346";"$8,678";"10.3%";"$197.1 ";"7.7%";"$3,844";"$2,156"
"320";"319";"Avis Budget Group";"25,600";"330";"$8,659";"1.8%";"$163.0 ";"-47.9%";"$17,643";"$2,528"
"321";"320";"Reliance Steel & Aluminum";"14,500";"303";"$8,613";"-7.9%";"$304.3 ";"-2.3%";"$7,411";"$5,830"
"322";"321";"GameStop";"41,750";"302";"$8,608";"-8.1%";"$353.2 ";"-12.3%";"$4,976";"$2,282"
"323";"322";"Tenneco";"31,000";"334";"$8,599";"4.8%";"$363.0 ";"47.0%";"$4,342";"$3,390"
"324";"323";"O";"58,397";"342";"$8,593";"7.9%";"$1,037.7 ";"11.4%";"$7,204";"$24,730"
"325";"324";"Peter Kiewit Sons";"20,000";"314";"$8,573";"-4.7%";"$396.0 ";"57.8%";"$6,179";"-"
"326";"325";"United Natural Foods";"9,554";"335";"$8,470";"3.5%";"$125.8 ";"-9.3%";"$2,852";"$2,187"
"327";"326";"salesforce.com";"25,000";"386";"$8,392";"25.9%";"$179.6 ";"-";"$17,585";"$58,362"
"328";"327";"Boston Scientific";"27,000";"359";"$8,386";"12.2%";"$347.0 ";"-";"$18,096";"$34,046"
"329";"328";"Newmont Mining";"12,438";"349";"$8,379";"8.4%";"-$627.0 ";"-385.0%";"$21,031";"$17,518"
"330";"329";"Genworth Financial";"3,400";"306";"$8,369";"-9.5%";"-$277.0 ";"-";"$104,658";"$2,056"
"331";"330";"Live Nation Entertainment";"11,500";"366";"$8,355";"15.3%";"$2.9 ";"-";"$6,764";"$6,219"
"332";"331";"Veritiv";"8,700";"323";"$8,327";"-4.5%";"$21.0 ";"-21.3%";"$2,484";"$813"
"333";"332";"News Corp.";"24,000";"327";"$8,319";"-3.6%";"$179.0 ";"-";"$15,483";"$7,559"
"334";"333";"Crown Holdings";"23,992";"321";"$8,284";"-5.5%";"$496.0 ";"26.2%";"$9,599";"$7,367"
"335";"334";"Global Partners";"1,770";"276";"$8,240";"-20.1%";"-$199.4 ";"-557.8%";"$2,564";"$663"
"336";"335";"PVH";"26,650";"340";"$8,203";"2.3%";"$549.0 ";"-4.1%";"$11,068";"$8,092"
"337";"336";"Level 3 Communications";"12,600";"333";"$8,172";"-0.7%";"$677.0 ";"-80.3%";"$24,888";"$20,638"
"338";"337";"Navistar International";"11,300";"281";"$8,111";"-20.0%";"-$97.0 ";"-";"$5,653";"$2,416"
"339";"338";"Univar";"8,700";"315";"$8,074";"-10.1%";"-$68.4 ";"-514.5%";"$5,390";"$4,293"
"340";"339";"Campbell Soup";"16,500";"337";"$7,961";"-1.5%";"$563.0 ";"-18.5%";"$7,837";"$17,423"
"341";"340";"Dick";"27,550";"365";"$7,922";"9.0%";"$287.4 ";"-13.0%";"$4,058";"$5,489"
"342";"341";"Weyerhaeuser";"10,400";"373";"$7,902";"11.6%";"$1,027.0 ";"103.0%";"$19,243";"$25,451"
"343";"342";"Mutual of Omaha Insurance";"5,732";"367";"$7,899";"9.2%";"$356.6 ";"7.1%";"$38,465";"-"
"344";"343";"Chesapeake Energy";"3,300";"223";"$7,872";"-38.3%";"-$4,401.0 ";"-";"$13,028";"$5,394"
"345";"344";"Anadarko Petroleum";"4,500";"324";"$7,869";"-9.5%";"-$3,071.0 ";"-";"$45,564";"$34,640"
"346";"345";"Interpublic Group";"49,800";"355";"$7,847";"3.1%";"$608.5 ";"33.9%";"$12,485";"$9,648"
"347";"346";"J.M. Smucker";"6,910";"452";"$7,811";"37.2%";"$688.7 ";"99.7%";"$15,984";"$15,263"
"348";"347";"Steel Dynamics";"7,695";"356";"$7,777";"2.4%";"$382.1 ";"-";"$6,424";"$8,425"
"349";"348";"Foot Locker";"32,965";"361";"$7,766";"4.8%";"$664.0 ";"22.7%";"$3,840";"$9,818"
"350";"349";"Western Refining";"7,134";"289";"$7,743";"-20.9%";"$124.9 ";"-69.3%";"$5,560";"$3,812"
"351";"350";"SpartanNash";"11,500";"351";"$7,735";"1.1%";"$56.8 ";"-9.4%";"$1,930";"$1,313"
"352";"351";"Dean Foods";"17,000";"336";"$7,710";"-5.1%";"$119.9 ";"-";"$2,606";"$1,786"
"353";"352";"Zimmer Biomet Holdings";"18,500";"431";"$7,684";"28.1%";"$305.9 ";"108.1%";"$26,684";"$24,571"
"354";"353";"PulteGroup";"4,623";"433";"$7,669";"28.2%";"$602.7 ";"22.0%";"$10,178";"$7,466"
"355";"354";"W.R. Berkley";"7,608";"368";"$7,654";"6.2%";"$601.9 ";"19.5%";"$23,365";"$8,561"
"356";"355";"Quanta Services";"28,100";"352";"$7,651";"0.2%";"$198.4 ";"-36.2%";"$5,354";"$5,386"
"357";"356";"EOG Resources";"2,650";"322";"$7,651";"-12.6%";"-$1,096.7 ";"-";"$29,459";"$56,302"
"358";"357";"Charles Schwab";"16,200";"401";"$7,644";"17.6%";"$1,889.0 ";"30.5%";"$223,383";"$54,555"
"359";"358";"Eversource Energy";"7,762";"343";"$7,639";"-4.0%";"$942.3 ";"7.3%";"$32,053";"$18,627"
"360";"359";"Anixter International";"8,900";"391";"$7,625";"15.6%";"$120.5 ";"-5.6%";"$4,094";"$2,626"
"361";"360";"EMCOR Group";"31,000";"381";"$7,552";"12.3%";"$181.9 ";"5.6%";"$3,894";"$3,756"
"362";"361";"Assurant";"14,700";"275";"$7,532";"-27.1%";"$565.4 ";"299.4%";"$29,709";"$5,298"
"363";"362";"CenterPoint Energy";"7,727";"363";"$7,528";"1.9%";"$432.0 ";"-";"$21,829";"$11,882"
"364";"363";"Harris";"21,000";"505";"$7,527";"48.1%";"$324.0 ";"-3.0%";"$11,996";"$13,849"
"365";"364";"HD Supply Holdings";"14,000";"320";"$7,524";"-14.3%";"$196.0 ";"-86.7%";"$5,707";"$8,296"
"366";"365";"PPL";"12,689";"350";"$7,517";"-2.0%";"$1,902.0 ";"178.9%";"$38,315";"$25,448"
"367";"366";"Quest Diagnostics";"43,000";"358";"$7,515";"0.3%";"$645.0 ";"-9.0%";"$10,100";"$13,501"
"368";"367";"Williams";"5,604";"364";"$7,499";"1.9%";"-$424.0 ";"-";"$46,835";"$24,436"
"369";"368";"WEC Energy Group";"8,074";"437";"$7,472";"26.1%";"$939.0 ";"47.1%";"$30,123";"$19,134"
"370";"369";"Hershey";"17,140";"362";"$7,440";"0.7%";"$720.0 ";"40.4%";"$5,524";"$23,236"
"371";"370";"AGCO";"19,795";"360";"$7,411";"-0.8%";"$160.1 ";"-39.9%";"$7,168";"$4,783"
"372";"371";"Ralph Lauren";"20,500";"354";"$7,405";"-2.8%";"$396.0 ";"-43.6%";"$6,213";"$6,710"
"373";"372";"Masco";"26,000";"345";"$7,357";"-6.9%";"$491.0 ";"38.3%";"$5,137";"$10,888"
"374";"373";"WESCO International";"9,000";"357";"$7,336";"-2.4%";"$101.6 ";"-51.8%";"$4,491";"$3,389"
"375";"374";"LifePoint Health";"47,000";"430";"$7,274";"20.9%";"$121.9 ";"-33.0%";"$6,319";"$2,616"
"376";"375";"National Oilwell Varco";"36,384";"192";"$7,251";"-50.9%";"-$2,412.0 ";"-";"$21,140";"$15,183"
"377";"376";"Kindred Healthcare";"76,650";"372";"$7,227";"1.8%";"-$664.2 ";"-";"$6,113";"$711"
"378";"377";"Mosaic";"8,700";"316";"$7,163";"-19.5%";"$297.8 ";"-70.2%";"$16,841";"$10,242"
"379";"378";"Alliance Data Systems";"17,000";"404";"$7,138";"10.8%";"$515.8 ";"-13.5%";"$25,514";"$13,925"
"380";"379";"Computer Sciences";"59,000";"233";"$7,106";"-41.7%";"$251.0 ";"-";"$7,736";"$9,746"
"381";"380";"Huntington Ingalls Industries";"37,000";"378";"$7,068";"0.7%";"$573.0 ";"41.8%";"$6,352";"$9,265"
"382";"381";"Leidos Holdings";"32,000";"504";"$7,043";"38.5%";"$244.0 ";"-3.9%";"$9,132";"$7,696"
"383";"382";"Erie Insurance Group";"4,988";"411";"$7,016";"5.7%";"$741.9 ";"10.7%";"$18,417";"-"
"384";"383";"Tesla";"30,025";"588";"$7,000";"73.0%";"-$674.9 ";"-";"$22,664";"$45,390"
"385";"384";"Ascena Retail Group";"41,000";"523";"$6,995";"45.6%";"-$11.9 ";"-";"$5,506";"$830"
"386";"385";"Darden Restaurants";"150,942";"371";"$6,934";"-3.2%";"$375.0 ";"-47.1%";"$4,583";"$10,389"
"387";"386";"Harman International Industries";"26,000";"419";"$6,912";"12.3%";"$361.7 ";"5.6%";"$6,054";"-"
"388";"387";"Nvidia";"10,299";"508";"$6,910";"37.9%";"$1,666.0 ";"171.3%";"$9,841";"$64,160"
"389";"388";"R.R. Donnelley & Sons";"44,360";"255";"$6,896";"-38.7%";"-$495.9 ";"-428.2%";"$4,285";"$846"
"390";"389";"Fifth Third Bancorp";"17,844";"376";"$6,889";"-2.0%";"$1,564.0 ";"-8.6%";"$142,177";"$19,066"
"391";"390";"Quintiles Transnational Holdings";"50,000";"447";"$6,878";"19.9%";"$115.0 ";"-70.3%";"$21,208";"$18,999"
"392";"391";"Jones Lang LaSalle";"77,300";"436";"$6,804";"14.0%";"$318.2 ";"-27.5%";"$7,629";"$5,043"
"393";"392";"Dover";"29,000";"377";"$6,794";"-3.3%";"$508.9 ";"-41.5%";"$10,116";"$12,502"
"394";"393";"Spirit AeroSystems Holdings";"14,400";"389";"$6,793";"2.2%";"$469.7 ";"-40.4%";"$5,405";"$6,900"
"395";"394";"Ryder System";"34,500";"395";"$6,787";"3.3%";"$262.5 ";"-13.9%";"$10,903";"$3,992"
"396";"395";"A-Mark Precious Metals";"83,000";"426";"$6,784";"11.8%";"$9.3 ";"31.5%";"$437";"$120"
"397";"396";"Tractor Supply";"19,500";"415";"$6,780";"8.9%";"$437.1 ";"6.5%";"$2,675";"$8,960"
"398";"397";"Sealed Air";"23,000";"375";"$6,778";"-3.6%";"$486.4 ";"45.0%";"$7,389";"$8,432"
"399";"398";"Auto-Owners Insurance";"4,737";"398";"$6,775";"4.0%";"$706.3 ";"-13.4%";"$21,571";"-"
"400";"399";"Yum China Holdings";"420,000";;"$6,752";"-";"$502.0 ";"-";"$3,727";"$10,453"
"401";"400";"Calpine";"2,372";"402";"$6,716";"3.8%";"$92.0 ";"-60.9%";"$19,317";"$3,989"
"402";"401";"Owens-Illinois";"27,000";"418";"$6,702";"8.9%";"$209.0 ";"54.8%";"$9,135";"$3,316"
"403";"402";"Targa Resources";"1,970";"387";"$6,691";"0.5%";"-$187.3 ";"-421.3%";"$12,871";"$11,743"
"404";"403";"JetBlue Airways";"15,986";"405";"$6,632";"3.4%";"$759.0 ";"12.1%";"$9,487";"$6,875"
"405";"404";"Jones Financial";"43,000";"382";"$6,632";"-0.9%";"$746.0 ";"-11.0%";"$19,424";"-"
"406";"405";"Franklin Resources";"9,059";"344";"$6,618";"-16.7%";"$1,726.7 ";"-15.2%";"$16,099";"$23,823"
"407";"406";"Activision Blizzard";"9,500";"532";"$6,608";"41.7%";"$966.0 ";"8.3%";"$17,452";"$37,487"
"408";"407";"J.B. Hunt Transport Services";"22,190";"416";"$6,556";"5.9%";"$432.1 ";"1.1%";"$3,829";"$10,212"
"409";"408";"Constellation Brands";"9,000";"429";"$6,548";"8.6%";"$1,054.9 ";"25.7%";"$16,965";"$31,775"
"410";"409";"NCR";"33,500";"409";"$6,543";"2.7%";"$270.0 ";"-";"$7,673";"$5,620"
"411";"410";"Asbury Automotive Group";"7,900";"393";"$6,528";"-0.9%";"$167.2 ";"-1.2%";"$2,336";"$1,271"
"412";"411";"American Financial Group";"7,600";"421";"$6,498";"5.7%";"$649.0 ";"84.4%";"$55,072";"$8,303"
"413";"412";"Discovery Communications";"7,000";"406";"$6,497";"1.6%";"$1,194.0 ";"15.5%";"$15,758";"$11,306"
"414";"413";"Berry Global Group";"21,000";"518";"$6,489";"32.9%";"$236.0 ";"174.4%";"$7,653";"$6,256"
"415";"414";"Sanmina";"40,178";"408";"$6,481";"1.7%";"$187.8 ";"-50.2%";"$3,625";"$3,016"
"416";"415";"CalAtlantic Group";"3,055";"640";"$6,477";"83.0%";"$484.7 ";"127.0%";"$8,709";"$4,291"
"417";"416";"Dr Pepper Snapple Group";"20,000";"413";"$6,440";"2.5%";"$847.0 ";"10.9%";"$9,791";"$17,997"
"418";"417";"Dillard";"30,800";"380";"$6,418";"-5.0%";"$169.2 ";"-37.2%";"$3,888";"$1,645"
"419";"418";"HRG Group";"16,021";"441";"$6,403";"10.1%";"-$198.8 ";"-";"$35,793";"$3,869"
"420";"419";"CMS Energy";"7,750";"403";"$6,399";"-0.9%";"$551.0 ";"5.4%";"$21,622";"$12,528"
"421";"420";"Graybar Electric";"8,500";"423";"$6,385";"4.5%";"$93.1 ";"2.2%";"$2,099";"-"
"422";"421";"Builders FirstSource";"14,000";"637";"$6,367";"78.6%";"$144.3 ";"-";"$2,910";"$1,669"
"423";"422";"Yum Brands";"90,000";"218";"$6,366";"-51.4%";"$1,619.0 ";"25.2%";"$5,478";"$22,611"
"424";"423";"Casey";"24,724";"374";"$6,304";"-10.6%";"$226.0 ";"25.1%";"$2,726";"$4,400"
"425";"424";"Amphenol";"62,000";"462";"$6,286";"12.9%";"$822.9 ";"7.8%";"$8,499";"$21,897"
"426";"425";"Oshkosh";"13,800";"424";"$6,279";"3.0%";"$216.4 ";"-5.7%";"$4,514";"$5,118"
"427";"426";"iHeartMedia";"18,700";"414";"$6,274";"0.5%";"-$296.3 ";"-";"$12,862";"$330"
"428";"427";"TreeHouse Foods";"16,027";"686";"$6,175";"92.6%";"-$228.6 ";"-298.9%";"$6,546";"$4,813"
"429";"428";"Alleghany";"3,420";"509";"$6,131";"22.6%";"$456.9 ";"-18.5%";"$23,757";"$9,476"
"430";"429";"Expeditors International of Washington";"16,000";"390";"$6,098";"-7.8%";"$430.8 ";"-5.8%";"$2,791";"$10,208"
"431";"430";"Avery Dennison";"25,000";"435";"$6,087";"2.0%";"$320.7 ";"16.9%";"$4,396";"$7,157"
"432";"431";"Ameren";"8,629";"425";"$6,076";"-0.4%";"$653.0 ";"3.7%";"$24,699";"$13,245"
"433";"432";"Hanesbrands";"67,800";"448";"$6,063";"5.8%";"$539.4 ";"25.8%";"$6,908";"$7,733"
"434";"433";"Motorola Solutions";"14,000";"451";"$6,038";"6.0%";"$560.0 ";"-8.2%";"$8,463";"$14,131"
"435";"434";"St. Jude Medical";"18,000";"465";"$6,004";"8.4%";"$734.0 ";"-16.6%";"$12,578";"-"
"436";"435";"Harley-Davidson";"6,000";"432";"$5,997";"-";"$692.2 ";"-8.0%";"$9,890";"$10,626"
"437";"436";"Regions Financial";"22,166";"453";"$5,967";"5.2%";"$1,163.0 ";"9.5%";"$125,968";"$17,512"
"438";"437";"Intercontinental Exchange";"5,631";"529";"$5,958";"27.3%";"$1,422.0 ";"11.6%";"$82,003";"$35,530"
"439";"438";"Alaska Air Group";"19,112";"459";"$5,931";"5.9%";"$814.0 ";"-4.0%";"$9,962";"$11,407"
"440";"439";"Old Republic International";"8,500";"442";"$5,901";"2.3%";"$466.9 ";"10.6%";"$18,592";"$5,382"
"441";"440";"Lam Research";"7,500";"491";"$5,886";"11.9%";"$914.0 ";"39.4%";"$12,272";"$20,903"
"442";"441";"AK Steel Holding";"8,500";"383";"$5,883";"-12.1%";"-$7.8 ";"-";"$4,036";"$2,263"
"443";"442";"Rockwell Automation";"22,000";"412";"$5,880";"-6.8%";"$729.7 ";"-11.8%";"$7,101";"$20,024"
