rank,title,Previous Rank,Revenues ($M),Revenue Change,Profits ($M),Profit Change,Assets ($M),Mkt Value as of 3/29/18 ($M),Employees,CEO,CEO Title,Sector,Industry,Years on Fortune 500 List,City,State,Latitude,Longitude
204,Illinois Tool Works,202,"$14,314 ",5.30%,"$1,687.00 ",-17.10%,"$16,780 ","$53,142 ","50,000",E. Scott Santi,"Chairman, President &  Chief Executive Officer",Industrials,Industrial Machinery,24,Glenview,IL,42.0697509,-87.7878408
205,Lincoln National,207,"$14,257 ",7.00%,"$2,079.00 ",74.40%,"$281,763 ","$15,946 ","9,047",Dennis R. Glass,"President, Chief Executive Officer &  Director",Financials,"Insurance: Life, Health (stock)",24,Wayne,PA,40.0462208,-75.3599105
206,HollyFrontier,274,"$14,251 ",35.30%,$805.40 ,-,"$10,692 ","$8,650 ","3,522",George J. Damiris,"President, Chief Executive Officer &  Director",Energy,Petroleum Refining,11,Dallas,TX,32.7766642,-96.7969879
207,CBRE Group,214,"$14,210 ",8.70%,$691.50 ,20.90%,"$11,484 ","$16,042 ","80,000",Robert E. Sulentic,"President, Chief Executive Officer &  Director",Financials,Real estate,11,Los Angeles,CA,34.0522342,-118.2436849
208,Textron,200,"$14,198 ",3.00%,$307.00 ,-68.10%,"$15,340 ","$15,293 ","37,000",Scott C. Donnelly,"Chairman, President &  Chief Executive Officer",Aerospace &  Defense,Aerospace and Defense,24,Providence,RI,41.8239891,-71.4128343
209,Ross Stores,219,"$14,135 ",9.90%,"$1,362.80 ",21.90%,"$5,722 ","$29,800 ","82,700",Barbara Rentler,Chairman &  Chief Executive Officer,Retailing,Specialty Retailers: Apparel,16,Dublin,CA,37.7021521,-121.9357918
210,Principal Financial,227,"$14,093 ",13.70%,"$2,310.40 ",75.50%,"$253,941 ","$17,643 ","15,378",Daniel J. Houston,"Chairman, President &  Chief Executive Officer",Financials,"Insurance: Life, Health (stock)",24,Des Moines,IA,41.6005448,-93.6091064
211,D.R. Horton,232,"$14,091 ",15.90%,"$1,038.40 ",17.20%,"$12,185 ","$16,480 ","7,735",David V. Auld,"President, Chief Executive Officer &  Director",Engineering &  Construction,Homebuilders,16,Arlington,TX,32.735687,-97.1080656
212,Marsh & McLennan,210,"$14,024 ",6.20%,"$1,492.00 ",-15.60%,"$20,429 ","$41,924 ","64,000",Daniel S. Glaser,"President, Chief Executive Officer &  Director",Financials,Diversified Financials,24,New York,NY,40.7127753,-74.0059728
213,Devon Energy,231,"$13,949 ",14.40%,$898.00 ,-,"$30,241 ","$16,725 ","3,414",David A. Hager,"President, Chief Executive Officer &  Director",Energy,"Mining, Crude-Oil Production",17,Oklahoma City,OK,35.4675602,-97.5164276
214,AES,194,"$13,850 ",-3.10%,"($1,161.00)",-,"$33,112 ","$7,510 ","10,500",AndrÔøΩs R. Gluski,"President, Chief Executive Officer &  Director",Energy,Utilities: Gas and Electric,18,Arlington,VA,38.8816208,-77.0909809
215,Ecolab,211,"$13,838 ",5.20%,"$1,508.40 ",22.70%,"$19,962 ","$39,524 ","48,400",Douglas M. Baker Jr.,Chairman &  Chief Executive Officer,Chemicals,Chemicals,16,St Paul,MN,44.9537029,-93.0899578
216,Land O'Lakes,209,"$13,740 ",3.80%,$314.20 ,28.30%,"$9,509 ",-,"10,000",Christopher J. Policinski,"President, Chief Executive Officer &  Director","Food, Beverages &  Tobacco",Food Consumer Products,16,Arden Hills,MN,45.0502435,-93.1566112
217,Loews,213,"$13,735 ",4.80%,"$1,164.00 ",78.00%,"$79,586 ","$16,134 ","18,100",James S. Tisch,"President, Chief Executive Officer &  Director",Financials,Insurance: Property and Casualty (Stock),24,New York,NY,40.7127753,-74.0059728
218,Kinder Morgan,215,"$13,705 ",5.00%,$183.00 ,-74.20%,"$79,055 ","$33,223 ","10,897",Steven J. Kean,"President, Chief Executive Officer &  Director",Energy,Pipelines,15,Houston,TX,29.7604267,-95.3698028
219,FirstEnergy,196,"$13,627 ",-3.70%,"($1,724.00)",-,"$42,257 ","$16,175 ","15,617",Charles E. Jones,"President, Chief Executive Officer &  Director",Energy,Utilities: Gas and Electric,23,Akron,OH,41.0814447,-81.5190053
220,Occidental Petroleum,278,"$13,274 ",27.70%,"$1,311.00 ",-,"$42,026 ","$49,738 ","11,000",Vicki A. Hollub,"President, Chief Executive Officer &  Director",Energy,"Mining, Crude-Oil Production",24,Houston,TX,29.7604267,-95.3698028
221,Viacom,224,"$13,263 ",6.20%,"$1,874.00 ",30.30%,"$23,698 ","$12,919 ","11,200",Robert M. Bakish,"President, Chief Executive Officer &  Director",Media,Entertainment,13,New York,NY,40.7127753,-74.0059728
222,PayPal Holdings,264,"$13,094 ",20.80%,"$1,795.00 ",28.10%,"$40,774 ","$91,056 ","18,700",Daniel H. Schulman,"President, Chief Executive Officer &  Director",Business Services,Financial Data Services,3,San Jose,CA,37.3382082,-121.8863286
223,NGL Energy Partners,237,"$13,022 ",10.90%,$137.00 ,-,"$6,320 ","$1,332 ","2,700",H. Michael Krimbill,Chief Executive Officer &  Director,Energy,Energy,4,Tulsa,OK,36.1539816,-95.992775
224,Celgene,254,"$13,003 ",15.80%,"$2,940.00 ",47.10%,"$30,141 ","$67,102 ","7,467",Mark J. Alles,Chairman &  Chief Executive Officer,Health Care,Pharmaceuticals,7,Summit,NJ,40.7146376,-74.3646122
225,Arconic,228,"$12,960 ",4.60%,($74.00),-,"$18,718 ","$11,124 ","41,500",Charles P. Blankenship,Chairman &  Chief Executive Officer,Aerospace &  Defense,Aerospace and Defense,24,New York,NY,40.7127753,-74.0059728
226,Kellogg,216,"$12,923 ",-0.70%,"$1,269.00 ",82.90%,"$16,350 ","$22,532 ","32,944",Steven A. Cahillane,"Chairman, President &  Chief Executive Officer","Food, Beverages &  Tobacco",Food Consumer Products,24,Battle Creek,MI,42.3211522,-85.1797142
227,Las Vegas Sands,249,"$12,882 ",12.90%,"$2,806.00 ",68.00%,"$20,687 ","$56,721 ","50,500",Sheldon G. Adelson,Chairman &  Chief Executive Officer,"Hotels, Restaurants &  Leisure","Hotels, Casinos, Resorts",9,Las Vegas,NV,36.1699412,-115.1398296
228,Stanley Black & Decker,250,"$12,747 ",11.70%,"$1,226.00 ",27.00%,"$19,080 ","$23,610 ","57,765",James M. Loree,"President, Chief Executive Officer &  Director",Household Products,"Home Equipment, Furnishings",11,New Britain,CT,41.6612104,-72.7795419
229,Booking Holdings,268,"$12,681 ",18.00%,"$2,340.80 ",9.60%,"$25,451 ","$100,459 ","22,900",Glenn D. Fogel,"President, Chief Executive Officer &  Director",Technology,Internet Services and Retailing,6,Norwalk,CT,41.117744,-73.4081575
230,Lennar,260,"$12,646 ",15.50%,$810.50 ,-11.10%,"$18,745 ","$18,738 ","9,111",Richard Beckwitt,Chief Executive Officer &  Director,Engineering &  Construction,Homebuilders,14,Miami,FL,25.7616798,-80.1917902
231,L Brands,220,"$12,632 ",0.50%,$983.00 ,-15.10%,"$8,149 ","$10,655 ","59,200",Leslie H. Wexner,"Chairman, President &  Chief Executive Officer",Retailing,Specialty Retailers: Apparel,24,Columbus,OH,39.9611755,-82.9987942
232,DTE Energy,272,"$12,607 ",18.60%,"$1,134.00 ",30.60%,"$33,767 ","$18,760 ","10,200",Gerard M. Anderson,Chairman &  Chief Executive Officer,Energy,Utilities: Gas and Electric,24,Detroit,MI,42.331427,-83.0457538
233,Dominion Energy,238,"$12,586 ",7.20%,"$2,999.00 ",41.30%,"$76,585 ","$45,344 ",16200,Thomas F. Farrell II,"Chairman, President &  Chief Executive Officer",Energy,Utilities: Gas and Electric,24,Richmond,VA,37.5407246,-77.4360481
234,Reinsurance Group of America,246,"$12,516 ",8.60%,"$1,822.20 ",159.80%,"$60,515 ","$9,930 ","2,640",Anna Manning,"President, Chief Executive Officer &  Director",Financials,"Insurance: Life, Health (stock)",9,Chesterfield,MO,38.6631083,-90.5770675
235,J.C. Penney,221,"$12,506 ",-0.30%,($116.00),-11700.00%,"$8,413 ",$943 ,"98,000",Jeffrey A. Davis/Joseph M. McFarland/Therace M. Risch,Chairman &  Chief Executive Officer,Retailing,General Merchandisers,24,Plano,TX,33.0198431,-96.6988856
236,Mastercard,267,"$12,497 ",16.00%,"$3,915.00 ",-3.50%,"$21,329 ","$184,161 ","13,400",Ajay Banga,"President, Chief Executive Officer &  Director",Business Services,Financial Data Services,10,Harrison,NY,41.0400135,-73.7144477
237,BlackRock,255,"$12,491 ",12.00%,"$4,970.00 ",56.70%,"$220,217 ","$87,065 ","13,900",Laurence D. Fink,Chairman &  Chief Executive Officer,Financials,Securities,11,New York,NY,40.7127753,-74.0059728
238,Henry Schein,243,"$12,462 ",7.70%,$406.30 ,-19.80%,"$7,811 ","$10,330 ","22,000",Stanley M. Bergman,Chairman &  Chief Executive Officer,Wholesalers,Wholesalers: Health Care,15,Melville,NY,40.7934322,-73.4151214
239,Guardian Life Ins. Co. of America,218,"$12,455 ",-3.60%,$455.30 ,72.50%,"$75,038 ",-,"9,283",Deanna M. Mulligan,"President, Chief Executive Officer &  Director",Financials,"Insurance: Life, Health (Mutual)",24,New York,NY,40.7127753,-74.0059728
240,Stryker,252,"$12,444 ",9.90%,"$1,020.00 ",-38.10%,"$22,197 ","$60,041 ","33,000",Kevin A. Lobo,Chairman &  Chief Executive Officer,Health Care,Medical Products and Equipment,16,Kalamazoo,MI,42.2917069,-85.5872286
241,Jefferies Financial Group,262,"$12,408 ",14.10%,$171.70 ,32.10%,"$47,169 ","$8,098 ","12,700",Richard B. Handler,Chairman &  Chief Executive Officer,Financials,Diversified Financials,6,New York,NY,40.7127753,-74.0059728
242,VF,230,"$12,400 ",1.60%,$614.90 ,-42.80%,"$9,959 ","$29,403 ","69,000",Steven E. Rendle,"Chairman, President &  Chief Executive Officer",Apparel,Apparel,24,Greensboro,NC,36.0726354,-79.7919754
243,ADP,240,"$12,380 ",6.10%,"$1,733.40 ",16.10%,"$37,180 ","$50,302 ","58,000",Carlos A. Rodriguez,"President, Chief Executive Officer &  Director",Business Services,Diversified Outsourcing Services,24,Roseland,NJ,40.8206555,-74.2937594
244,Edison International,235,"$12,320 ",3.80%,$565.00 ,-56.90%,"$52,580 ","$20,741 ","12,521",Pedro J. Pizarro,"President, Chief Executive Officer &  Director",Energy,Utilities: Gas and Electric,24,Rosemead,CA,34.0805651,-118.072846
245,Biogen,248,"$12,274 ",7.20%,"$2,539.10 ",-31.40%,"$23,653 ","$57,930 ","7,300",Michel Vounatsos,Chairman &  Chief Executive Officer,Health Care,Pharmaceuticals,9,Cambridge,MA,42.3736158,-71.1097335
246,United States Steel,279,"$12,250 ",19.40%,$387.00 ,-,"$9,862 ","$6,200 ","29,200",David B. Burritt,"President, Chief Executive Officer &  Director",Materials,Metals,16,Pittsburgh,PA,40.4406248,-79.9958864
247,Core-Mark Holding,247,"$12,225 ",6.20%,$33.50 ,-38.20%,"$1,783 ",$981 ,"8,413",Thomas B. Perkins,Chairman &  Chief Executive Officer,Wholesalers,Wholesalers: Food and Grocery,9,South San Francisco,CA,37.654656,-122.4077498
248,Bed Bath & Beyond,233,"$12,216 ",0.90%,$685.10 ,-18.60%,"$6,846 ","$2,989 ","65,000",Steven H. Temares,Chief Executive Officer &  Director,Retailing,Specialty Retailers: Other,15,Union,NJ,40.6975898,-74.2631635
249,Oneok,312,"$12,174 ",36.50%,$387.80 ,10.20%,"$16,846 ","$23,373 ","2,470",Terry K. Spencer,"President, Chief Executive Officer &  Director",Energy,Pipelines,16,Tulsa,OK,36.1539816,-95.992775
250,BB& T Corp.,245,"$12,156 ",5.40%,"$2,394.00 ",-1.30%,"$221,642 ","$40,454 ","36,484",Kelly S. King,Chairman &  Chief Executive Officer,Financials,Commercial Banks,20,Winston-Salem,NC,36.0998596,-80.244216
251,Becton Dickinson,225,"$12,093 ",-3.10%,"$1,100.00 ",12.70%,"$37,734 ","$57,695 ","41,933",Vincent A. Forlenza,Chairman &  Chief Executive Officer,Health Care,Medical Products and Equipment,24,Franklin Lakes,NJ,41.0167639,-74.2057011
252,Ameriprise Financial,239,"$12,075 ",2.90%,"$1,480.00 ",12.60%,"$147,470 ","$21,613 ","13,312",James M. Cracchiolo,Chairman &  Chief Executive Officer,Financials,Diversified Financials,12,Minneapolis,MN,44.977753,-93.2650108
253,Farmers Insurance Exchange,222,"$12,072 ",-3.50%,($65.40),-,"$16,165 ",-,"13,015",Jeffrey J. Dailey,"President, Chief Executive Officer &  Director",Financials,Insurance: Property and Casualty (Mutual),4,Los Angeles,CA,34.165357,-118.6089752
254,First Data,242,"$12,052 ",4.00%,"$1,465.00 ",248.80%,"$48,269 ","$14,865 ","22,000",Frank J. Bisignano,Chairman &  Chief Executive Officer,Business Services,Financial Data Services,24,New York,NY,40.7127753,-74.0059728
255,Consolidated Edison,234,"$12,033 ",-0.30%,"$1,525.00 ",22.50%,"$48,111 ","$24,192 ","15,591",John McAvoy,"Chairman, President &  Chief Executive Officer",Energy,Utilities: Gas and Electric,24,New York,NY,40.7127753,-74.0059728
256,Parker-Hannifin,251,"$12,029 ",5.90%,$983.40 ,21.90%,"$15,490 ","$22,755 ","56,690",Thomas L. Williams,Chairman &  Chief Executive Officer,Industrials,Industrial Machinery,24,Cleveland,OH,41.49932,-81.6943605
257,Anadarko Petroleum,344,"$11,908 ",51.30%,($456.00),-,"$42,086 ","$31,131 ","4,400",R. A. Walker,"Chairman, President &  Chief Executive Officer",Energy,"Mining, Crude-Oil Production",18,The Woodlands,TX,30.1658207,-95.4612625
258,Estee Lauder,253,"$11,824 ",5.00%,"$1,249.00 ",12.10%,"$11,568 ","$55,064 ","46,000",Fabrizio Freda,"President, Chief Executive Officer &  Director",Household Products,Household and Personal Products,23,New York,NY,40.7127753,-74.0059728
259,State Street Corp.,271,"$11,774 ",10.70%,"$2,177.00 ",1.60%,"$238,425 ","$36,688 ","36,643",Joseph L. Hooley,Chairman &  Chief Executive Officer,Financials,Commercial Banks,23,Boston,MA,42.3600825,-71.0588801
260,Tesla,383,"$11,759 ",68.00%,"($1,961.40)",-,"$28,655 ","$44,955 ","37,543",Elon Musk,Chairman &  Chief Executive Officer,Motor Vehicles &  Parts,Motor Vehicles and Parts,2,Palo Alto,CA,37.4418834,-122.1430195
261,Netflix,314,"$11,693 ",32.40%,$558.90 ,199.40%,"$19,013 ","$128,167 ","5,100",Reed Hastings,"Chairman, President &  Chief Executive Officer",Technology,Internet Services and Retailing,4,Los Gatos,CA,37.2358078,-121.9623751
262,Alcoa,300,"$11,652 ",25.00%,$217.00 ,-,"$17,447 ","$8,372 ","14,600",Roy C. Harvey,"President, Chief Executive Officer &  Director",Materials,Metals,2,Pittsburgh,PA,40.4406248,-79.9958864
263,Discover Financial Services,277,"$11,545 ",10.00%,"$2,099.00 ",-12.30%,"$100,087 ","$25,431 ","16,500",David W. Nelms,Chairman &  Chief Executive Officer,Financials,Commercial Banks,10,Riverwoods,IL,42.1675254,-87.897014
264,Praxair,275,"$11,437 ",8.60%,"$1,247.00 ",-16.90%,"$20,436 ","$41,434 ","26,461",Stephen F. Angel,Chairman &  Chief Executive Officer,Chemicals,Chemicals,24,Danbury,CT,41.394817,-73.4540111
265,CSX,257,"$11,408 ",3.10%,"$5,471.00 ",219.20%,"$35,739 ","$49,428 ","24,006",James M. Foote,"President, Chief Executive Officer &  Director",Transportation,Railroads,24,Jacksonville,FL,30.3321838,-81.655651
266,Xcel Energy,256,"$11,404 ",2.70%,"$1,148.00 ",2.20%,"$43,030 ","$23,107 ","11,105",Benjamin G.S. Fowke III,"Chairman, President &  Chief Executive Officer",Energy,Utilities: Gas and Electric,22,Minneapolis,MN,44.977753,-93.2650108
267,Unum Group,258,"$11,287 ",2.20%,$994.20 ,6.70%,"$64,013 ","$10,530 ","9,400",Richard P. McKenney,"President, Chief Executive Officer &  Director",Financials,"Insurance: Life, Health (stock)",23,Chattanooga,TN,35.0456297,-85.3096801
268,Universal Health Services,276,"$11,279 ",7.30%,$752.30 ,7.10%,"$10,762 ","$11,163 ","72,300",Alan B. Miller,Chairman &  Chief Executive Officer,Health Care,Health Care: Medical Facilities,15,King of Prussia,PA,40.1012856,-75.3835525
269,NRG Energy,229,"$11,275 ",-8.70%,"($2,153.00)",-,"$23,318 ","$9,698 ","5,940",Mauricio Gutierrez,"President, Chief Executive Officer &  Director",Energy,Energy,12,Princeton,NJ,40.3572976,-74.6672226
270,EOG Resources,356,"$11,208 ",46.50%,"$2,582.60 ",-,"$29,833 ","$60,913 ","2,664",William R. Thomas,Chairman &  Chief Executive Officer,Energy,"Mining, Crude-Oil Production",10,Houston,TX,29.7604267,-95.3698028
271,Sempra Energy,280,"$11,207 ",10.10%,$256.00 ,-81.30%,"$50,454 ","$29,351 ","16,046",J. Walker Martin,Chairman &  Chief Executive Officer,Energy,Utilities: Gas and Electric,20,San Diego,CA,32.715738,-117.1610838
272,Toys 'R'ù Us,244,"$11,146 ",-3.40%,($612.00),-,"$7,262 ",-,"65,000",David A. Brandon,Chairman &  Chief Executive Officer,Retailing,Specialty Retailers: Other,24,Wayne,NJ,40.9253725,-74.2765441
273,Group 1 Automotive,261,"$11,124 ",2.20%,$213.40 ,45.10%,"$4,871 ","$1,366 ","14,108",Earl J. Hesterberg,"President, Chief Executive Officer &  Director",Retailing,"Automotive Retailing, Services",18,Houston,TX,29.7604267,-95.3698028
274,Entergy,263,"$11,075 ",2.10%,$411.60 ,-,"$46,707 ","$14,298 ","13,504",Leo P. Denault,Chairman &  Chief Executive Officer,Energy,Utilities: Gas and Electric,24,New Orleans,LA,29.9510658,-90.0715323
275,Molson Coors Brewing,522,"$11,003 ",125.20%,"$1,414.20 ",-28.40%,"$30,247 ","$16,238 ","17,200",Mark R. Hunter,"President, Chief Executive Officer &  Director","Food, Beverages &  Tobacco",Beverages,8,Denver,CO,39.7392358,-104.990251
276,L3 Technologies,273,"$11,002 ",3.80%,$677.00 ,-4.60%,"$12,729 ","$16,283 ","38,000",Christopher E. Kubasik,"President, Chief Executive Officer &  Director",Aerospace &  Defense,Aerospace and Defense,16,New York,NY,40.7127753,-74.0059728
277,Ball,306,"$10,983 ",21.20%,$374.00 ,42.20%,"$17,169 ","$13,920 ","18,300",John A. Hayes,"Chairman, President &  Chief Executive Officer",Materials,"Packaging, Containers",22,Broomfield,CO,39.9205411,-105.0866504
278,AutoZone,270,"$10,889 ",2.40%,"$1,280.90 ",3.20%,"$9,260 ","$17,450 ","70,035",William C. Rhodes III,"Chairman, President &  Chief Executive Officer",Retailing,Specialty Retailers: Other,20,Memphis,TN,35.1495343,-90.0489801
279,Murphy USA,291,"$10,853 ",12.70%,$245.30 ,10.70%,"$2,331 ","$2,440 ","6,900",R. Andrew Clyde,"President, Chief Executive Officer &  Director",Retailing,Specialty Retailers: Other,5,El Dorado,AR,33.20763,-92.6662674
280,MGM Resorts International,297,"$10,774 ",13.90%,"$1,960.30 ",78.00%,"$29,159 ","$19,844 ","68,500",James J. Murren,Chairman &  Chief Executive Officer,"Hotels, Restaurants &  Leisure","Hotels, Casinos, Resorts",18,Las Vegas,NV,36.1699412,-115.1398296
281,Office Depot,203,"$10,752 ",-20.90%,$181.00 ,-65.80%,"$6,323 ","$1,195 ","45,000",Gerry P. Smith,Chairman &  Chief Executive Officer,Retailing,Specialty Retailers: Other,24,Boca Raton,FL,26.3683064,-80.1289321
282,Huntsman,289,"$10,592 ",9.70%,$636.00 ,95.10%,"$10,244 ","$7,090 ","10,000",Peter R. Huntsman,"Chairman, President &  Chief Executive Officer",Chemicals,Chemicals,13,The Woodlands,TX,30.1658207,-95.4612625
283,Baxter International,281,"$10,561 ",3.90%,$717.00 ,-85.60%,"$17,111 ","$34,979 ","47,000",JosÔøΩ E. Almeida,"Chairman, President &  Chief Executive Officer",Health Care,Medical Products and Equipment,24,Deerfield,IL,42.1711365,-87.8445119
284,Norfolk Southern,284,"$10,551 ",6.70%,"$5,404.00 ",224.00%,"$35,711 ","$41,226 ","27,110",James A. Squires,"Chairman, President &  Chief Executive Officer",Transportation,Railroads,24,Norfolk,VA,36.8507689,-76.2858726
285,salesforce.com,326,"$10,480 ",24.90%,$127.50 ,-29.00%,"$21,010 ","$85,074 ","29,000",Marc R. Benioff,Chairman &  Chief Executive Officer,Technology,Computer Software,4,SF,CA,37.7749295,-122.4194155
286,Laboratory Corp. of America,290,"$10,441 ",8.30%,"$1,268.20 ",73.20%,"$16,568 ","$16,482 ","60,000",David P. King,"Chairman, President &  Chief Executive Officer",Health Care,Health Care: Pharmacy and Other Services,9,Burlington,NC,36.0956918,-79.4377991
287,W.W. Grainger,282,"$10,425 ",2.80%,$585.70 ,-3.30%,"$5,804 ","$15,823 ","25,050",Donald G. MacPherson,Chairman &  Chief Executive Officer,Wholesalers,Wholesalers: Diversified,24,Lake Forest,IL,42.2586342,-87.840625
288,Qurate Retail,269,"$10,404 ",-2.30%,"$2,441.00 ",97.70%,"$24,122 ","$12,587 ","28,255",Gregory B. Maffei,Chairman,Retailing,Internet Services and Retailing,14,Englewood,CO,39.6477653,-104.9877597
289,Autoliv,283,"$10,383 ",3.10%,$427.10 ,-24.70%,"$8,550 ","$12,710 ","67,352",Jan Carlson,"Chairman, President &  Chief Executive Officer",Motor Vehicles &  Parts,Motor Vehicles and Parts,20,Auburn Hills,MI,42.6875323,-83.2341028
290,Live Nation Entertainment,330,"$10,337 ",23.70%,($6.00),-304.50%,"$7,504 ","$8,772 ","15,050",Michael Rapino,"President, Chief Executive Officer &  Director",Media,Entertainment,9,Beverly Hills,CA,34.0736204,-118.4003563
291,Xerox,162,"$10,265 ",-40.10%,$195.00 ,-,"$15,946 ","$7,330 ","36,100",John Visentin,Chairman &  Chief Executive Officer,Technology,"Computers, Office Equipment",24,Norwalk,CT,41.117744,-73.4081575
292,Leidos Holdings,381,"$10,170 ",44.40%,$366.00 ,50.00%,"$8,990 ","$9,918 ","31,000",Roger A. Krone,Chairman &  Chief Executive Officer,Technology,Information Technology Services,18,Reston,VA,38.9586307,-77.3570028
293,Corning,298,"$10,116 ",7.70%,($497.00),-113.50%,"$27,494 ","$23,677 ","46,200",Wendell P. Weeks,"Chairman, President &  Chief Executive Officer",Industrials,"Electronics, Electrical Equip.",23,Corning,NY,42.1428521,-77.0546903
294,Lithia Motors,318,"$10,087 ",16.20%,$245.20 ,24.40%,"$4,683 ","$2,515 ","12,899",Bryan B. DeBoer,"President, Chief Executive Officer &  Director",Retailing,"Automotive Retailing, Services",4,Medford,OR,42.3265152,-122.8755949
295,Expedia Group,317,"$10,060 ",14.70%,$378.00 ,34.10%,"$18,516 ","$16,764 ","22,615",Mark D. Okerstrom,"President, Chief Executive Officer &  Director",Retailing,Internet Services and Retailing,4,Bellevue,WA,47.6101497,-122.2015159
296,Republic Services,299,"$10,042 ",7.00%,"$1,278.40 ",108.70%,"$21,147 ","$21,832 ","35,000",Donald W. Slager,"President, Chief Executive Officer &  Director",Business Services,Waste Management,9,Phoenix,AZ,33.4483771,-112.0740373
297,Jacobs Engineering Group,259,"$10,023 ",-8.60%,$293.70 ,39.60%,"$7,381 ","$8,380 ","49,750",Steven J. Demetriou,"Chairman, President &  Chief Executive Officer",Engineering &  Construction,"Engineering, Construction",18,Dallas,TX,32.7766642,-96.7969879
298,Sonic Automotive,287,"$9,867 ",1.40%,$93.00 ,-0.20%,"$3,819 ",$804 ,"9,750",B. Scott Smith,"President, Chief Executive Officer &  Director",Retailing,"Automotive Retailing, Services",19,Charlotte,NC,35.2270869,-80.8431267
299,Ally Financial,286,"$9,866 ",0.30%,$929.00 ,-12.90%,"$167,148 ","$11,767 ","7,900",Jeffrey J. Brown,Chairman &  Chief Executive Officer,Financials,Diversified Financials,11,Detroit,MI,42.331427,-83.0457538
300,LKQ,304,"$9,848 ",8.40%,$533.70 ,15.00%,"$9,367 ","$11,750 ","43,000",Dominick P. Zarcone,"President, Chief Executive Officer &  Director",Wholesalers,Wholesalers: Diversified,5,Chicago,IL,41.8781136,-87.6297982
301,BorgWarner,305,"$9,799 ",8.00%,$439.90 ,271.20%,"$9,788 ","$10,586 ","29,000",James R. Verrier,"President, Chief Executive Officer &  Director",Motor Vehicles &  Parts,Motor Vehicles and Parts,12,Auburn Hills,MI,42.6875323,-83.2341028
302,Fidelity National Financial,293,"$9,769 ",2.30%,$771.00 ,18.60%,"$9,151 ","$10,983 ","24,525",Raymond R. Quirk,Chairman &  Chief Executive Officer,Financials,Insurance: Property and Casualty (Stock),11,Jacksonville,FL,30.3321838,-81.655651
303,SunTrust Banks,303,"$9,741 ",6.30%,"$2,273.00 ",21.00%,"$205,962 ","$31,863 ","23,785",William H. Rogers Jr.,Chairman &  Chief Executive Officer,Financials,Commercial Banks,24,Atlanta,GA,33.7489954,-84.3879824
304,IQVIA Holdings,390,"$9,739 ",41.60%,"$1,309.00 ",1038.30%,"$22,742 ","$20,433 ",55000,Ari Bousbib,"Chairman, President &  Chief Executive Officer",Health Care,Health Care: Pharmacy and Other Services,5,Durham,NC,35.980513,-78.90511
305,Reliance Steel & Aluminum,320,"$9,721 ",12.90%,$613.40 ,101.60%,"$7,751 ","$6,244 ","14,900",Gregg J. Mollins,"President, Chief Executive Officer &  Director",Materials,Metals,12,Los Angeles,CA,34.0522342,-118.2436849
306,Nvidia,387,"$9,714 ",40.60%,"$3,047.00 ",82.90%,"$11,241 ","$140,112 ","11,528",Jen-Hsun Huang,"President, Chief Executive Officer &  Director",Technology,Semiconductors and Other Electronic Components,2,Santa Clara,CA,37.3541079,-121.9552356
307,Voya Financial,266,"$9,660 ",-10.40%,"($2,992.00)",-,"$222,532 ","$8,686 ","6,300",Rodney O. Martin Jr.,Chairman &  Chief Executive Officer,Financials,Diversified Financials,4,New York,NY,40.7127753,-74.0059728
308,CenterPoint Energy,362,"$9,614 ",27.70%,"$1,792.00 ",314.80%,"$22,736 ","$11,822 ","7,977",Scott M. Prochazka,"President, Chief Executive Officer &  Director",Energy,Utilities: Gas and Electric,24,Houston,TX,29.7604267,-95.3698028
309,eBay,310,"$9,567 ",6.50%,"($1,016.00)",-114.00%,"$25,981 ","$40,726 ","14,100",Devin N. Wenig,"President, Chief Executive Officer &  Director",Technology,Internet Services and Retailing,13,San Jose,CA,37.3382082,-121.8863286
310,Eastman Chemical,309,"$9,549 ",6.00%,"$1,384.00 ",62.10%,"$15,999 ","$15,073 ","14,000",Mark J. Costa,Chairman &  Chief Executive Officer,Chemicals,Chemicals,24,Kingsport,TN,36.548434,-82.5618186
311,American Family Insurance Group,315,"$9,545 ",8.10%,$155.60 ,-52.20%,"$24,233 ",-,"11,307",Jack C. Salzwedel,Chairman &  Chief Executive Officer,Financials,Insurance: Property and Casualty (Stock),22,Madison,WI,43.0730517,-89.4012302
312,Steel Dynamics,347,"$9,539 ",22.70%,$812.70 ,112.70%,"$6,856 ","$10,444 ","7,635",Mark D. Millett,"President, Chief Executive Officer &  Director",Materials,Metals,9,Fort Wayne,IN,41.079273,-85.1393513
313,Pacific Life,302,"$9,510 ",3.70%,"$1,365.00 ",65.70%,"$157,877 ",-,"3,578",James T. Morris,"Chairman, President &  Chief Executive Officer",Financials,"Insurance: Life, Health (stock)",22,Newport Beach,CA,33.6188829,-117.9298493
314,Chesapeake Energy,343,"$9,496 ",20.60%,$949.00 ,-,"$12,425 ","$2,746 ","3,200",Robert D. Lawler,"President, Chief Executive Officer &  Director",Energy,"Mining, Crude-Oil Production",13,Oklahoma City,OK,35.4675602,-97.5164276
315,Mohawk Industries,311,"$9,491 ",5.90%,$971.60 ,4.40%,"$12,095 ","$17,283 ","38,800",Jeffrey S. Lorberbaum,Chairman &  Chief Executive Officer,Household Products,"Home Equipment, Furnishings",19,Calhoun,GA,34.502587,-84.9510542
